sensor_num,cpu_id,start_date,end_date,lat,lon,alt,relay,needs_utc_correction
1,0xeaf14755,2023-05-30 14:00:00,2023-06-01 12:00:00,33.6084636,-102.05034537,1018,a,True
8,0x794f05f,2023-05-30 14:00:00,2023-06-01 12:00:00,33.6084636,-102.05034537,1018,a,True
10,0x77f2bb93,2023-05-30 14:00:00,2023-06-01 12:00:00,33.60840889,-102.05034537,1018,a,True
1,0xeaf14755,2023-06-01 12:00:00,2023-06-03 23:59:59,33.6084636,-102.05034537,1018,a,True
7,0x87a8398b,2023-06-01 12:00:00,2023-06-03 23:59:59,33.60840889,-102.05044878,1018,a,True
8,0x794f05f,2023-06-01 12:00:00,2023-06-03 23:59:59,33.60842366,-102.05034207,1018,a,True
1,0xeaf14755,2023-06-06 14:00:00,2023-06-06 18:30:00,35.183785509,-97.433846090,345,a,True
8,0x794f05f,2023-06-06 14:00:00,2023-06-06 18:30:00,35.183785509,-97.433846090,345,a,True
3,0xbd48bd0a,2023-06-06 14:00:00,2023-06-06 18:30:00,35.183785509,-97.433846090,345,a,True
8,0x794f05f,2023-06-09 14:00:00,2023-06-16 21:00:00,35.288101,-97.601700,374,a,True
1,0xeaf14755,2023-06-09 14:00:00,2023-06-16 21:00:00,35.25615472,-97.65923176,413,a,True
3,0xbd48bd0a,2023-06-09 14:00:00,2023-06-16 21:00:00,35.24873191,-97.59471269,364,a,True
1,0xeaf14755,2023-06-17 11:00:00,2023-06-18 14:30:00,35.248810,-97.594849,364,a,True
3,0xbd48bd0a,2023-06-17 11:00:00,2023-06-18 14:30:00,35.256133,-97.659457,413,a,True
8,0x794f05f,2023-06-17 11:00:00,2023-06-18 14:30:00,35.288101,-97.601700,374,a,True
1,0xeaf14755,2023-06-22 11:00:00,2023-06-23 10:30:00,35.248810,-97.594849,364,a,True
3,0xbd48bd0a,2023-06-22 11:00:00,2023-06-23 10:30:00,35.256133,-97.659457,413,a,True
7,0x87a8398b,2023-06-22 23:00:00,2023-06-23 16:00:00,35.288101,-97.601700,374,a,False
10,0x77f2bb93,2023-06-23 23:00:00,2023-06-23 23:15:00,,,,a,True
